Name,Year,Country,Type,Captain
Viking 73,2004,Russia,Passenger,Carlos Sanchez
Titanic 43,1990,China,BulkCarrier,William Brown
Enterprise 75,2011,USA,Tanker,William Brown
Enterprise 66,2015,China,BulkCarrier,John Smith
Odyssey 19,1990,France,BulkCarrier,John Smith
Poseidon 10,2015,France,Tanker,William Brown
Aurora 99,1963,USA,Tanker,Carlos Sanchez
Neptune 53,2015,USA,Tanker,John Smith
Viking 75,1980,Japan,Tanker,Hans Müller
Titanic 28,2004,USA,Passenger,Carlos Sanchez
Neptune 84,2012,France,Passenger,Hans Müller
Nautilus 75,2012,France,Passenger,Li Wei
Neptune 18,2018,China,Tanker,Jean Dupont
Titanic 19,1964,Germany,Passenger,John Smith
Neptune 24,1963,China,Tanker,Carlos Sanchez
Enterprise 76,1964,France,Tanker,Li Wei
Viking 45,1963,UK,Tanker,John Smith
Neptune 51,1955,UK,Passenger,Li Wei
Nautilus 96,1989,Germany,Tanker,Jean Dupont
Poseidon 7,1956,France,Tanker,Carlos Sanchez
Enterprise 5,2020,Japan,BulkCarrier,Hans Müller
Viking 27,1976,Germany,Passenger,Hans Müller
Aurora 55,1974,USA,Tanker,Jean Dupont
Odyssey 78,1967,Japan,Tanker,Carlos Sanchez
Odyssey 53,1964,Japan,BulkCarrier,Ivan Petrov
Aurora 9,1970,Japan,BulkCarrier,Li Wei
Nautilus 82,1995,China,BulkCarrier,William Brown
Enterprise 18,2002,Germany,BulkCarrier,Ivan Petrov
Titanic 88,1988,Russia,BulkCarrier,Hans Müller
Neptune 31,2000,Japan,Passenger,Li Wei
Nautilus 68,2003,Germany,BulkCarrier,John Smith
Odyssey 64,1960,Russia,Tanker,William Brown
Titanic 36,1986,UK,Passenger,Carlos Sanchez
Titanic 49,2005,USA,Tanker,John Smith
Neptune 39,1975,UK,Tanker,John Smith
Aurora 83,1995,Russia,Tanker,Carlos Sanchez
Poseidon 100,1973,France,Tanker,Carlos Sanchez
Odyssey 22,1972,Japan,Passenger,Ivan Petrov
Nautilus 3,1951,UK,Tanker,Hans Müller
Titanic 5,2025,Germany,BulkCarrier,William Brown
Nautilus 56,1964,Russia,BulkCarrier,William Brown
Nautilus 89,1970,France,Passenger,Jean Dupont
Aurora 4,2003,USA,Passenger,Jean Dupont
Nautilus 18,1978,Japan,BulkCarrier,Jean Dupont
Odyssey 90,1998,France,BulkCarrier,Ivan Petrov
Neptune 86,2023,Japan,BulkCarrier,Hans Müller
Odyssey 56,2013,Russia,Passenger,Carlos Sanchez
Poseidon 19,2013,USA,BulkCarrier,Ivan Petrov
Nautilus 30,1996,China,BulkCarrier,Jean Dupont
Titanic 16,1994,Russia,BulkCarrier,Ivan Petrov
Viking 67,1982,UK,Passenger,John Smith
Aurora 9,1983,Russia,Passenger,Hans Müller
Viking 91,1990,Germany,Passenger,Jean Dupont
Aurora 67,1973,China,Tanker,Jean Dupont
Odyssey 61,1993,UK,Tanker,Li Wei
Odyssey 14,2003,France,Passenger,Jean Dupont
Odyssey 29,1968,France,Tanker,Li Wei
Poseidon 87,1955,UK,BulkCarrier,Ivan Petrov
Enterprise 29,2016,Russia,Passenger,Carlos Sanchez
Viking 59,2003,Germany,Passenger,Hans Müller
Nautilus 60,2023,Japan,Passenger,William Brown
Enterprise 98,2000,France,BulkCarrier,Carlos Sanchez
Odyssey 19,1952,France,BulkCarrier,Hans Müller
Odyssey 4,2013,USA,Tanker,William Brown
Neptune 23,2007,UK,Tanker,Ivan Petrov
Nautilus 12,1952,UK,Passenger,William Brown
Enterprise 79,1977,Russia,BulkCarrier,Hans Müller
Viking 80,1984,UK,Passenger,Hans Müller
Enterprise 15,1980,Germany,Passenger,John Smith
Poseidon 75,2022,China,Passenger,Ivan Petrov
Neptune 71,1964,Germany,Tanker,Jean Dupont
Odyssey 24,1988,China,Tanker,Ivan Petrov
Neptune 68,1969,China,Tanker,Li Wei
Enterprise 91,1993,Japan,Tanker,Hans Müller
Aurora 24,1974,France,Passenger,Carlos Sanchez
Neptune 95,1973,Russia,Passenger,Jean Dupont
Viking 56,1956,China,BulkCarrier,Carlos Sanchez
Titanic 85,1961,Russia,Passenger,Jean Dupont
Poseidon 24,2022,UK,Tanker,Li Wei
Odyssey 82,1986,Japan,Passenger,Jean Dupont
Titanic 14,1992,UK,Tanker,William Brown
Odyssey 69,2014,China,BulkCarrier,Jean Dupont
Titanic 75,2020,Russia,Tanker,John Smith
Neptune 19,2010,USA,Passenger,Hans Müller
Poseidon 41,2024,UK,Tanker,Jean Dupont
Titanic 20,2024,Germany,Passenger,John Smith
Viking 5,1996,China,Tanker,Jean Dupont
Aurora 100,2006,UK,BulkCarrier,John Smith
Nautilus 58,1957,China,Passenger,Hans Müller
Nautilus 42,1951,Germany,Tanker,Ivan Petrov
Neptune 5,1984,China,BulkCarrier,Ivan Petrov
Aurora 93,1973,Japan,BulkCarrier,John Smith
Aurora 14,2005,Germany,Tanker,John Smith
Aurora 40,1966,France,BulkCarrier,William Brown
Odyssey 47,1995,Russia,BulkCarrier,John Smith
Viking 93,2013,USA,Tanker,Hans Müller
Aurora 15,1988,Japan,BulkCarrier,Jean Dupont
Aurora 89,2017,USA,BulkCarrier,William Brown
Enterprise 67,1989,Russia,Passenger,Hans Müller
Nautilus 23,2018,France,Tanker,Li Wei
Titanic 91,1967,Russia,BulkCarrier,William Brown
Neptune 65,1997,Germany,Tanker,Ivan Petrov
Neptune 55,2008,USA,BulkCarrier,Ivan Petrov
Aurora 51,1997,Japan,BulkCarrier,Hans Müller
Poseidon 16,2014,USA,Passenger,John Smith
Viking 20,1961,Japan,Passenger,Li Wei
Enterprise 6,2013,UK,Tanker,Carlos Sanchez
Poseidon 62,2013,Germany,Tanker,Hans Müller
Enterprise 69,1955,France,BulkCarrier,Hans Müller
Poseidon 25,1987,Germany,BulkCarrier,Ivan Petrov
Aurora 43,2021,France,Passenger,Li Wei
Enterprise 66,2012,France,Passenger,William Brown
Neptune 69,2017,China,Passenger,Ivan Petrov
Neptune 84,1952,Japan,Passenger,John Smith
Titanic 10,1954,USA,Passenger,Hans Müller
Neptune 23,2019,Germany,Tanker,Li Wei
Viking 89,1983,Russia,BulkCarrier,Ivan Petrov
Enterprise 71,2016,China,Passenger,John Smith
Viking 52,2004,China,Passenger,Carlos Sanchez
Odyssey 8,2010,UK,Tanker,John Smith
Enterprise 40,2007,Russia,Passenger,Hans Müller
Poseidon 25,1962,France,Passenger,Hans Müller
Viking 50,1992,USA,Passenger,John Smith
Nautilus 3,1980,China,Passenger,Hans Müller
Aurora 91,1993,UK,Passenger,Jean Dupont
Nautilus 80,2010,Russia,Tanker,Jean Dupont
Viking 11,1964,Japan,Tanker,Ivan Petrov
Poseidon 28,1973,France,BulkCarrier,Carlos Sanchez
