Name,Year,Country,Type,Captain
Titanic 1,1950,USA,PASSENGER,Carlos Sanchez
Viking 98,1950,China,TANKER,John Smith
Enterprise 82,1950,USA,PASSENGER,Li Wei
Odyssey 33,1950,France,TANKER,Jean Dupont
Poseidon 82,1950,Japan,TANKER,William Brown
Viking 82,1950,China,PASSENGER,Carlos Sanchez
Enterprise 97,1950,Germany,TANKER,John Smith
Poseidon 41,1950,Russia,PASSENGER,William Brown
Nautilus 100,1950,UK,BULK_CARRIER,Jean Dupont
Aurora 95,1950,USA,PASSENGER,Ivan Petrov
Odyssey 30,1950,Japan,TANKER,Carlos Sanchez
Neptune 17,1950,Germany,PASSENGER,Li Wei
Poseidon 76,1950,Germany,TANKER,Carlos Sanchez
Odyssey 29,1950,Japan,TANKER,William Brown
Neptune 2,1950,China,BULK_CARRIER,Jean Dupont
Titanic 21,1950,China,BULK_CARRIER,Li Wei
Poseidon 88,1950,Japan,TANKER,Jean Dupont
Viking 13,1950,China,TANKER,Li Wei
Viking 3,1950,France,BULK_CARRIER,Carlos Sanchez
Odyssey 64,1950,Germany,PASSENGER,Jean Dupont
Poseidon 76,1950,UK,BULK_CARRIER,William Brown
Odyssey 65,1950,Germany,BULK_CARRIER,John Smith
Enterprise 57,1950,USA,BULK_CARRIER,Carlos Sanchez
Viking 17,1950,Germany,PASSENGER,Jean Dupont
Neptune 70,1950,France,TANKER,Hans Müller
Odyssey 88,1950,UK,PASSENGER,Jean Dupont
Poseidon 84,1950,USA,PASSENGER,John Smith
Neptune 22,1950,USA,BULK_CARRIER,Ivan Petrov
Viking 10,1950,USA,TANKER,Ivan Petrov
Poseidon 44,1950,Russia,PASSENGER,Li Wei
Nautilus 35,1950,Germany,TANKER,Li Wei
Poseidon 81,1950,Japan,PASSENGER,Carlos Sanchez
Titanic 82,1950,China,TANKER,Hans Müller
Nautilus 14,1950,UK,PASSENGER,Jean Dupont
Poseidon 84,1950,UK,TANKER,John Smith
Titanic 71,1950,Japan,BULK_CARRIER,Hans Müller
Aurora 97,1950,France,TANKER,Ivan Petrov
Odyssey 35,1950,Japan,TANKER,Jean Dupont
Odyssey 49,1950,UK,TANKER,William Brown
