Name,Year,Country,Type,Captain
Odyssey 79,1950,Japan,TANKER,Carlos Sanchez
Odyssey 11,1950,Germany,PASSENGER,Hans Müller
Enterprise 65,1951,France,TANKER,Jean Dupont
Neptune 14,1951,Japan,TANKER,Li Wei
Neptune 83,1953,UK,TANKER,Hans Müller
Neptune 50,1953,Japan,BULK_CARRIER,Jean Dupont
Viking 11,1954,UK,BULK_CARRIER,Jean Dupont
Viking 81,1955,Germany,PASSENGER,William Brown
Enterprise 24,1955,Germany,BULK_CARRIER,Carlos Sanchez
Nautilus 78,1956,China,TANKER,Li Wei
Neptune 2,1958,UK,TANKER,Hans Müller
Poseidon 43,1961,Russia,PASSENGER,John Smith
Poseidon 3,1961,Japan,BULK_CARRIER,Carlos Sanchez
Neptune 33,1961,China,TANKER,Li Wei
Viking 56,1962,France,BULK_CARRIER,Li Wei
Enterprise 23,1962,Russia,PASSENGER,Hans Müller
Neptune 42,1963,France,BULK_CARRIER,Hans Müller
Viking 39,1963,Japan,BULK_CARRIER,Jean Dupont
Nautilus 85,1964,France,PASSENGER,Carlos Sanchez
Viking 88,1964,Russia,PASSENGER,John Smith
Nautilus 6,1964,Russia,TANKER,Li Wei
Enterprise 93,1964,Russia,PASSENGER,Ivan Petrov
Nautilus 54,1967,China,BULK_CARRIER,John Smith
Odyssey 61,1967,UK,BULK_CARRIER,Carlos Sanchez
Neptune 29,1969,France,TANKER,Jean Dupont
Odyssey 57,1969,China,TANKER,John Smith
Viking 46,1969,Germany,PASSENGER,Hans Müller
Neptune 12,1970,China,BULK_CARRIER,Carlos Sanchez
Titanic 55,1970,USA,BULK_CARRIER,Hans Müller
Titanic 93,1970,Russia,BULK_CARRIER,Jean Dupont
Nautilus 100,1970,Japan,BULK_CARRIER,Carlos Sanchez
Enterprise 97,1971,Russia,BULK_CARRIER,William Brown
Poseidon 34,1972,Russia,PASSENGER,William Brown
Neptune 7,1973,China,PASSENGER,Hans Müller
Odyssey 46,1973,France,PASSENGER,Hans Müller
Poseidon 20,1975,Japan,BULK_CARRIER,Jean Dupont
Odyssey 9,1975,Japan,TANKER,William Brown
Nautilus 56,1976,Japan,PASSENGER,John Smith
Titanic 60,1978,UK,TANKER,Jean Dupont
Aurora 84,1978,UK,TANKER,Hans Müller
Nautilus 73,1978,UK,TANKER,Carlos Sanchez
Aurora 39,1979,Germany,BULK_CARRIER,Carlos Sanchez
Viking 94,1980,France,BULK_CARRIER,John Smith
Aurora 44,1980,Germany,TANKER,John Smith
Neptune 49,1980,USA,BULK_CARRIER,Ivan Petrov
Enterprise 84,1981,China,TANKER,Li Wei
Viking 50,1981,France,PASSENGER,Li Wei
Poseidon 46,1982,Germany,BULK_CARRIER,Jean Dupont
Enterprise 80,1982,Russia,BULK_CARRIER,Li Wei
Enterprise 18,1983,USA,BULK_CARRIER,John Smith
Enterprise 69,1983,Germany,BULK_CARRIER,Jean Dupont
Enterprise 7,1984,China,PASSENGER,Hans Müller
Aurora 11,1986,Japan,TANKER,Carlos Sanchez
Aurora 17,1986,Russia,PASSENGER,Carlos Sanchez
Titanic 18,1986,France,BULK_CARRIER,John Smith
Aurora 68,1986,China,TANKER,Carlos Sanchez
Titanic 40,1987,UK,PASSENGER,John Smith
Enterprise 95,1988,France,TANKER,Li Wei
Neptune 49,1992,Japan,TANKER,Jean Dupont
Odyssey 81,1992,UK,PASSENGER,William Brown
Odyssey 66,1994,UK,BULK_CARRIER,John Smith
Nautilus 95,1994,France,TANKER,William Brown
Neptune 55,1994,USA,PASSENGER,Carlos Sanchez
Poseidon 59,1995,China,BULK_CARRIER,William Brown
Nautilus 33,1997,France,BULK_CARRIER,Hans Müller
Titanic 79,1997,China,TANKER,Carlos Sanchez
Aurora 19,1999,France,TANKER,William Brown
Aurora 98,1999,USA,PASSENGER,Jean Dupont
Enterprise 63,2000,France,BULK_CARRIER,William Brown
Titanic 60,2002,USA,TANKER,William Brown
Nautilus 84,2003,Japan,TANKER,Jean Dupont
Poseidon 25,2003,UK,BULK_CARRIER,William Brown
Odyssey 14,2004,Russia,PASSENGER,William Brown
Aurora 4,2005,France,TANKER,William Brown
Titanic 30,2005,France,PASSENGER,Carlos Sanchez
Aurora 87,2006,Japan,BULK_CARRIER,Ivan Petrov
Poseidon 35,2009,France,PASSENGER,Li Wei
Neptune 51,2009,UK,BULK_CARRIER,Ivan Petrov
Viking 3,2009,Russia,BULK_CARRIER,Jean Dupont
Poseidon 12,2010,Russia,PASSENGER,John Smith
Odyssey 46,2011,USA,TANKER,William Brown
Enterprise 94,2011,Japan,BULK_CARRIER,William Brown
Aurora 19,2012,Russia,BULK_CARRIER,Li Wei
Odyssey 67,2012,Germany,BULK_CARRIER,Hans Müller
Odyssey 2,2013,China,BULK_CARRIER,Jean Dupont
Nautilus 96,2013,UK,PASSENGER,Jean Dupont
Enterprise 55,2015,Russia,BULK_CARRIER,Carlos Sanchez
Aurora 45,2015,France,PASSENGER,Hans Müller
Enterprise 83,2016,Russia,PASSENGER,Hans Müller
Poseidon 43,2017,Germany,PASSENGER,Jean Dupont
Nautilus 81,2017,USA,TANKER,Ivan Petrov
Viking 95,2018,Japan,PASSENGER,Hans Müller
Nautilus 2,2019,China,PASSENGER,Li Wei
Viking 43,2022,Japan,BULK_CARRIER,Carlos Sanchez
Neptune 16,2022,China,TANKER,William Brown
Viking 70,2022,Russia,TANKER,William Brown
Neptune 89,2023,France,TANKER,William Brown
Nautilus 28,2024,UK,PASSENGER,Li Wei
